,gpt3_contradiction,gpt2_contradiction,gold_contradiction,gpt3_entailment,gpt2_entailment,gold_entailment,gpt3_neutral,gpt2_neutral,gold_neutral
39,not s2_noun s2_verb,s2_noun simultaneously,s2_noun s2_noun,s1_adj s1_noun,s1s2_verb s1s2_noun be,answer,s1s2_noun be s2_verb,s1_noun s1_noun not,s2_adj s2_noun
40,s2_noun be not,be s1_verb s1_noun,s2_noun s1_verb,s2_noun s1s2_noun,s1s2_noun be rephrasing,rephrase,not s1_noun,mean s2_verb,be s2_verb
41,be s1_verb s2_verb,s2_noun s2_noun time,not s2_adj,s1s2_adj s1s2_noun be,s1s2_noun be s2_adv,be form,infer s1s2_noun be,not mean s2_verb,idea be
42,s2_noun not,s1_noun s2_noun time,wet,s1_noun s1_noun,be type s1s2_noun,s1s2_verb s2_adp,statement not necessarily,s1s2_verb s1s2_noun not,necessarily be
43,activity,not s1_verb s1_adj,person not,s1_verb s1_noun be,be s1s2_adj s1s2_noun,s1s2_noun order,s2_verb not,s1s2_noun s1_noun s1_noun,picture
44,different activity,s1_noun s1_noun s2_verb,s1s2_noun s2_part,be s2_noun,s1s2_verb s1s2_adj,s1_propn s1s2_noun,be s2_adj not,necessarily s2_verb,s1s2_verb not
45,be different activity,s2_verb s1_verb time,s2_part s1s2_verb,s1_noun be form,s1s2_verb s1s2_adj s1s2_noun,form,age,necessarily s2_verb s2_noun,idea s1s2_noun
46,s2_verb s2_noun s2_noun,s1_verb time,versus,imply be s2_noun,be s2_adp,be call,know be,necessarily s2_noun,game
47,describe,s1_verb s1_adj s1_adj,be opposite,imply be s1s2_verb,type s1s2_noun,s1_num s1s2_noun,statement not specify,not necessarily s2_noun,necessarily s2_noun
48,not s2_adj,s2_verb s2_noun s1_verb,time be,s1s2_noun be s1s2_noun,be s2_adj s1s2_noun,s1s2_noun mean,not specify s1s2_noun,be s2_verb,be s2_propn
49,s1_adj s1_noun not,s1_noun,person,s1_noun imply be,s1_noun be s1_noun,s1s2_verb s1_adj,age s1s2_noun,s1_noun not imply,mean s2_verb
